SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
20221009_165028.JPG,,,
20221009_165035.JPG,,,
20221009_165541.JPG,,,
DSC04388.JPG,7008 3944 3504 1972,inf,33.39 m
DSC04392.JPG,7008 3944 3504 1972,inf,48.69 m
DSC04393.JPG,7008 3944 3504 1972,inf,48.69 m
DSC04398.JPG,7008 3944 3504 1972,inf,48.69 m
DSC04400.JPG,7008 3944 3504 1972,inf,48.69 m
DSC04402.JPG,7008 3944 3504 1972,105.61 m,48.69 m
DSC04404.JPG,7008 3944 3504 1972,88.82 m,48.69 m
DSC04406.JPG,7008 3944 3504 1972,110.28 m,48.69 m
DSC04408.JPG,7008 3944 3504 1972,74.70 m,48.69 m
DSC04409.JPG,7008 3944 3504 1972,68.50 m,48.69 m
DSC04410.JPG,7008 3944 3504 1972,62.82 m,48.69 m
DSC04411.JPG,7008 3944 3504 1972,50.60 m,48.69 m
DSC04413.JPG,7008 3944 3504 1972,9.03 m,19.02 m
DSC04414.JPG,7008 3944 3504 1972,7.60 m,19.02 m
DSC04415.JPG,7008 3944 3504 1972,7.60 m,19.02 m
DSC04417.JPG,7008 3944 3504 1972,7.60 m,19.02 m
DSC04424.JPG,7008 3944 3504 1972,75.16 m,19.02 m
DSC04425.JPG,7008 3944 3504 1972,50.76 m,58.24 m
DSC04427.JPG,7008 3944 3504 1972,53.00 m,58.24 m
DSC04429.JPG,7008 3944 3504 1972,50.76 m,58.24 m
DSC04430.JPG,7008 3944 3504 1972,50.76 m,58.24 m
DSC04433.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC04434.JPG,7008 3944 3504 1972,48.61 m,58.24 m
DSC04442.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC04445.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC04446.JPG,7008 3944 3504 1972,65.80 m,58.24 m
DSC04448.JPG,7008 3944 3504 1972,63.01 m,58.24 m
DSC04453.JPG,7008 3944 3504 1972,31.54 m,58.24 m
DSC04454.JPG,7008 3944 3504 1972,30.21 m,58.24 m
DSC04456.JPG,7008 3944 3504 1972,46.55 m,58.24 m
DSC04457.JPG,7008 3944 3504 1972,46.55 m,58.24 m
DSC04458.JPG,7008 3944 3504 1972,40.88 m,58.24 m
DSC04461.JPG,7008 3944 3504 1972,27.71 m,58.24 m
DSC04462.JPG,7008 3944 3504 1972,31.54 m,58.24 m
DSC04464.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC04468.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC04469.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC04471.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC04473.JPG,7008 3944 3504 1972,57.79 m,58.24 m
DSC04476.JPG,7008 3944 3504 1972,42.69 m,58.24 m
DSC04481.JPG,7008 3944 3504 1972,11.69 m,58.24 m
DSC04483.JPG,7008 3944 3504 1972,13.30 m,58.24 m
DSC04484.JPG,7008 3944 3504 1972,13.30 m,58.24 m
DSC04486.JPG,7008 3944 3504 1972,12.20 m,58.24 m
DSC04487.JPG,7008 3944 3504 1972,13.30 m,58.24 m
DSC04488.JPG,7008 3944 3504 1972,21.38 m,58.24 m
DSC04489.JPG,7008 3944 3504 1972,21.38 m,58.24 m
DSC04494.JPG,7008 3944 3504 1972,74.92 m,58.24 m
DSC04495.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC04496.JPG,7008 3944 3504 1972,84.09 m,56.59 m
DSC04498.JPG,7008 3944 3504 1972,70.72 m,56.59 m
DSC04499.JPG,7008 3944 3504 1972,59.48 m,56.59 m
DSC04500.JPG,7008 3944 3504 1972,54.55 m,56.59 m
DSC04501.JPG,7008 3944 3504 1972,54.55 m,56.59 m
DSC04502.JPG,7008 3944 3504 1972,54.55 m,56.59 m
DSC04503.JPG,7008 3944 3504 1972,50.03 m,56.59 m
DSC04506.JPG,7008 3944 3504 1972,23.99 m,56.59 m
DSC04510.JPG,7008 3944 3504 1972,41.74 m,18.08 m
DSC04511.JPG,7008 3944 3504 1972,32.20 m,18.08 m
DSC04520.JPG,7008 3944 3504 1972,inf,19.02 m
DSC04524.JPG,7008 3944 3504 1972,inf,19.02 m
DSC04525.JPG,7008 3944 3504 1972,inf,19.02 m
DSC04526.JPG,7008 3944 3504 1972,inf,19.02 m
DSC04527.JPG,7008 3944 3504 1972,inf,19.02 m
DSC04532.JPG,7008 3944 3504 1972,inf,19.02 m
DSC04533.JPG,7008 3944 3504 1972,66.01 m,19.02 m
DSC04534.JPG,7008 3944 3504 1972,68.93 m,19.02 m
DSC04536.JPG,7008 3944 3504 1972,63.21 m,19.02 m
DSC04539.JPG,7008 3944 3504 1972,68.93 m,19.02 m
DSC04541.JPG,7008 3944 3504 1972,60.53 m,19.02 m
DSC04543.JPG,7008 3944 3504 1972,63.21 m,19.02 m
DSC04545.JPG,7008 3944 3504 1972,68.93 m,19.02 m
DSC04546.JPG,7008 3944 3504 1972,68.93 m,19.02 m
DSC04547.JPG,7008 3944 3504 1972,60.53 m,19.02 m
DSC04554.JPG,7008 3944 3504 1972,29.73 m,10.00 m
DSC04555.JPG,7008 3944 3504 1972,20.14 m,10.00 m
DSC04559.JPG,7008 3944 3504 1972,14.25 m,10.00 m
DSC04563.JPG,7008 3944 3504 1972,inf,10.00 m
DSC04564.JPG,7008 3944 3504 1972,45.83 m,10.00 m
DSC04565.JPG,7008 3944 3504 1972,45.83 m,10.00 m
DSC04566.JPG,7008 3944 3504 1972,36.91 m,10.00 m
DSC04571.JPG,7008 3944 3504 1972,inf,10.00 m
DSC04572.JPG,7008 3944 3504 1972,inf,10.00 m
DSC04573.JPG,7008 3944 3504 1972,52.18 m,10.00 m
DSC04576.JPG,7008 3944 3504 1972,inf,10.00 m
DSC04578.JPG,7008 3944 3504 1972,inf,10.00 m
DSC04579.JPG,7008 3944 3504 1972,inf,10.00 m
DSC04580.JPG,7008 3944 3504 1972,43.88 m,10.00 m
DSC04581.JPG,7008 3944 3504 1972,inf,10.00 m
DSC04582.JPG,7008 3944 3504 1972,inf,10.00 m
DSC04583.JPG,7008 3944 3504 1972,inf,10.00 m
DSC04584.JPG,7008 3944 3504 1972,49.97 m,10.00 m
DSC04586.JPG,7008 3944 3504 1972,26.11 m,10.00 m
DSC04587.JPG,7008 3944 3504 1972,20.14 m,10.00 m
DSC04590.JPG,7008 3944 3504 1972,17.69 m,10.00 m
DSC04594.JPG,7008 3944 3504 1972,42.03 m,10.00 m
DSC04597.JPG,7008 3944 3504 1972,21.96 m,10.00 m
DSC04601.JPG,7008 3944 3504 1972,21.96 m,10.00 m
DSC04605.JPG,7008 3944 3504 1972,26.11 m,10.00 m
DSC04606.JPG,7008 3944 3504 1972,13.64 m,10.00 m
DSC04608.JPG,7008 3944 3504 1972,13.07 m,10.00 m
DSC04609.JPG,7008 3944 3504 1972,11.48 m,10.00 m
DSC04611.JPG,7008 3944 3504 1972,17.69 m,10.00 m
DSC04612.JPG,7008 3944 3504 1972,21.96 m,10.00 m
DSC04616.JPG,7008 3944 3504 1972,125.96 m,58.24 m
DSC04617.JPG,7008 3944 3504 1972,125.96 m,58.24 m
DSC04620.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC04621.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC04624.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC04626.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC04627.JPG,7008 3944 3504 1972,37.50 m,58.24 m
DSC04628.JPG,7008 3944 3504 1972,40.88 m,58.24 m
DSC04629.JPG,7008 3944 3504 1972,48.61 m,58.24 m
DSC04630.JPG,7008 3944 3504 1972,48.61 m,58.24 m
DSC04632.JPG,7008 3944 3504 1972,55.34 m,58.24 m
DSC04634.JPG,7008 3944 3504 1972,71.75 m,58.24 m
DSC04638.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC04641.JPG,7008 3944 3504 1972,125.96 m,58.24 m
DSC04644.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC04645.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC04650.JPG,7008 3944 3504 1972,120.62 m,58.24 m
DSC04651.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC04653.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC04654.JPG,7008 3944 3504 1972,131.53 m,58.24 m
DSC04655.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC04659.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC04661.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC04664.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC04667.JPG,7008 3944 3504 1972,60.35 m,58.24 m
DSC04668.JPG,7008 3944 3504 1972,57.79 m,58.24 m
DSC04671.JPG,7008 3944 3504 1972,48.61 m,58.24 m
DSC04673.JPG,7008 3944 3504 1972,28.93 m,58.24 m
DSC04674.JPG,7008 3944 3504 1972,28.93 m,58.24 m
DSC04679.JPG,7008 3944 3504 1972,6.41 m,58.24 m
DSC04682.JPG,7008 3944 3504 1972,46.55 m,58.24 m
DSC04684.JPG,7008 3944 3504 1972,46.55 m,58.24 m
DSC04685.JPG,7008 3944 3504 1972,48.61 m,58.24 m
DSC04686.JPG,7008 3944 3504 1972,75.85 m,27.39 m
DSC04687.JPG,7008 3944 3504 1972,75.85 m,27.39 m
DSC04688.JPG,7008 3944 3504 1972,75.85 m,27.39 m
DSC04689.JPG,7008 3944 3504 1972,75.85 m,27.39 m
DSC04690.JPG,7008 3944 3504 1972,inf,27.39 m
DSC04692.JPG,7008 3944 3504 1972,75.85 m,27.39 m
DSC04694.JPG,7008 3944 3504 1972,inf,27.39 m
DSC04696.JPG,7008 3944 3504 1972,inf,27.39 m
DSC04697.JPG,7008 3944 3504 1972,inf,27.39 m
DSC04698.JPG,7008 3944 3504 1972,inf,27.39 m
DSC04699.JPG,7008 3944 3504 1972,inf,27.39 m
DSC04700.JPG,7008 3944 3504 1972,49.20 m,27.39 m
DSC04705.JPG,7008 3944 3504 1972,46.55 m,58.24 m
DSC04706.JPG,7008 3944 3504 1972,25.41 m,58.24 m
DSC04709.JPG,7008 3944 3504 1972,40.88 m,58.24 m
DSC04710.JPG,7008 3944 3504 1972,34.39 m,58.24 m
DSC04711.JPG,7008 3944 3504 1972,31.54 m,58.24 m
DSC04712.JPG,7008 3944 3504 1972,30.21 m,58.24 m
DSC04713.JPG,7008 3944 3504 1972,27.71 m,58.24 m
DSC04714.JPG,7008 3944 3504 1972,27.71 m,58.24 m
DSC04716.JPG,7008 3944 3504 1972,28.93 m,58.24 m
DSC04717.JPG,7008 3944 3504 1972,24.34 m,58.24 m
DSC04718.JPG,7008 3944 3504 1972,30.21 m,58.24 m
DSC04719.JPG,7008 3944 3504 1972,15.81 m,58.24 m
DSC04720.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC04722.JPG,7008 3944 3504 1972,131.53 m,58.24 m
DSC04723.JPG,7008 3944 3504 1972,inf,58.24 m
DSC04727.JPG,7008 3944 3504 1972,131.53 m,58.24 m
DSC04728.JPG,7008 3944 3504 1972,120.62 m,58.24 m
DSC04729.JPG,7008 3944 3504 1972,inf,58.24 m
DSC04730.JPG,7008 3944 3504 1972,inf,58.24 m
DSC04731.JPG,7008 3944 3504 1972,inf,58.24 m
DSC04732.JPG,7008 3944 3504 1972,125.96 m,58.24 m
DSC04734.JPG,7008 3944 3504 1972,125.96 m,58.24 m
DSC04736.JPG,7008 3944 3504 1972,inf,58.24 m
DSC04747.JPG,7008 3944 3504 1972,120.62 m,58.24 m
DSC04750.JPG,7008 3944 3504 1972,125.96 m,58.24 m
DSC04752.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC04757.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC04762.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC04764.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC04770.JPG,7008 3944 3504 1972,48.61 m,58.24 m
DSC04773.JPG,7008 3944 3504 1972,22.32 m,58.24 m
DSC04776.JPG,7008 3944 3504 1972,42.53 m,12.17 m
DSC04777.JPG,7008 3944 3504 1972,40.73 m,12.17 m
DSC04785.JPG,7008 3944 3504 1972,37.35 m,12.17 m
DSC04792.JPG,7008 3944 3504 1972,inf,12.17 m
DSC04795.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC04799.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC04800.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC04805.JPG,7008 3944 3504 1972,65.80 m,58.24 m
DSC04806.JPG,7008 3944 3504 1972,39.15 m,58.24 m
DSC04809.JPG,7008 3944 3504 1972,30.21 m,58.24 m
DSC04812.JPG,7008 3944 3504 1972,8.12 m,33.39 m
DSC04813.JPG,7008 3944 3504 1972,6.55 m,33.39 m
DSC04815.JPG,7008 3944 3504 1972,6.01 m,33.39 m
DSC04816.JPG,7008 3944 3504 1972,inf,35.96 m
DSC04820.JPG,7008 3944 3504 1972,inf,58.24 m
DSC04821.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC04822.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC04826.JPG,7008 3944 3504 1972,71.75 m,58.24 m
DSC04827.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC04828.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC04830.JPG,7008 3944 3504 1972,65.80 m,58.24 m
DSC04832.JPG,7008 3944 3504 1972,28.93 m,58.24 m
DSC04833.JPG,7008 3944 3504 1972,26.53 m,58.24 m
DSC04834.JPG,7008 3944 3504 1972,30.21 m,58.24 m
DSC04835.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC04836.JPG,7008 3944 3504 1972,60.35 m,58.24 m
DSC04837.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC04838.JPG,7008 3944 3504 1972,74.92 m,58.24 m
DSC04839.JPG,7008 3944 3504 1972,74.92 m,58.24 m
DSC04840.JPG,7008 3944 3504 1972,46.55 m,58.24 m
DSC04844.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04849.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04850.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04852.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04855.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04857.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04858.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04859.JPG,7008 3944 3504 1972,inf,6.85 m
DSC04861.JPG,7008 3944 3504 1972,110.62 m,58.24 m
