SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
20221016_174659.JPG,,,
20221016_175011.JPG,,,
DSC08467.JPG,7008 3944 3504 1972,inf,10.70 m
DSC08469.JPG,7008 3944 3504 1972,46.55 m,58.24 m
DSC08471.JPG,7008 3944 3504 1972,6.98 m,58.24 m
DSC08473.JPG,7008 3944 3504 1972,inf,58.24 m
DSC08474.JPG,7008 3944 3504 1972,inf,58.24 m
DSC08475.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC08476.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC08478.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC08479.JPG,7008 3944 3504 1972,71.75 m,58.24 m
DSC08480.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC08481.JPG,7008 3944 3504 1972,63.01 m,58.24 m
DSC08483.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC08484.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC08485.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC08486.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC08487.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC08488.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC08490.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC08495.JPG,7008 3944 3504 1972,74.92 m,58.24 m
DSC08500.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC08501.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC08503.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC08504.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC08507.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC08508.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC08510.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC08512.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC08514.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC08521.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC08522.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC08524.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC08529.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC08532.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC08534.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC08535.JPG,7008 3944 3504 1972,inf,6.85 m
DSC08538.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC08540.JPG,7008 3944 3504 1972,74.92 m,58.24 m
DSC08543.JPG,7008 3944 3504 1972,65.80 m,58.24 m
DSC08546.JPG,7008 3944 3504 1972,74.92 m,58.24 m
DSC08547.JPG,7008 3944 3504 1972,74.92 m,58.24 m
