SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC02488.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC02494.JPG,7008 3944 3504 1972,131.53 m,58.24 m
DSC02496.JPG,7008 3944 3504 1972,60.35 m,58.24 m
DSC02499.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC02500.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC02502.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC02503.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC02505.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC02507.JPG,7008 3944 3504 1972,34.39 m,58.24 m
DSC02508.JPG,7008 3944 3504 1972,34.39 m,58.24 m
DSC02509.JPG,7008 3944 3504 1972,34.39 m,58.24 m
DSC02510.JPG,7008 3944 3504 1972,35.91 m,58.24 m
DSC02511.JPG,7008 3944 3504 1972,35.91 m,58.24 m
DSC02512.JPG,7008 3944 3504 1972,32.94 m,58.24 m
DSC02513.JPG,7008 3944 3504 1972,37.50 m,58.24 m
DSC02515.JPG,7008 3944 3504 1972,16.50 m,58.24 m
DSC02516.JPG,7008 3944 3504 1972,13.89 m,58.24 m
DSC02519.JPG,7008 3944 3514 1963,12.20 m,58.24 m
DSC02520.JPG,7008 3944 3504 1972,28.93 m,58.24 m
DSC02521.JPG,7008 3944 3504 1972,44.58 m,58.24 m
DSC02522.JPG,7008 3944 3504 1972,22.32 m,58.24 m
DSC02524.JPG,7008 3944 3504 1972,125.96 m,58.24 m
DSC02526.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC02528.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC02533.JPG,7008 3944 3504 1972,28.93 m,58.24 m
DSC02534.JPG,7008 3944 3504 1972,28.93 m,58.24 m
DSC02535.JPG,7008 3944 3504 1972,28.93 m,58.24 m
DSC02540.JPG,7008 3944 2244 1347,8.65 m,58.24 m
DSC02541.JPG,7008 3944 2288 1347,8.65 m,58.24 m
DSC02542.JPG,7008 3944 5453 1594,inf,9.32 m
DSC02543.JPG,7008 3944 5540 1569,inf,9.32 m
DSC02544.JPG,7008 3944 3109 1972,40.58 m,9.32 m
DSC02545.JPG,7008 3944 5562 1676,inf,9.32 m
DSC02547.JPG,7008 3944 3504 1972,48.61 m,58.24 m
DSC02549.JPG,7008 3944 3504 1972,65.80 m,58.24 m
DSC02550.JPG,7008 3944 3504 1972,65.80 m,58.24 m
DSC02551.JPG,7008 3944 3504 1972,35.91 m,58.24 m
DSC02552.JPG,7008 3944 3504 1972,9.03 m,58.24 m
DSC02553.JPG,7008 3944 3504 1972,9.03 m,58.24 m
DSC02554.JPG,7008 3944 3504 1972,17.23 m,58.24 m
DSC02556.JPG,7008 3944 3504 1972,26.83 m,23.01 m
DSC02558.JPG,7008 3944 3504 1972,6.98 m,58.24 m
DSC02559.JPG,7008 3944 3504 1972,34.39 m,58.24 m
