SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC04448.JPG,7008 3944 3504 1972,131.53 m,58.24 m
DSC04452.JPG,7008 3944 3504 1972,inf,27.39 m
DSC05596.JPG,7008 3944 3504 1972,93.03 m,58.24 m
SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC05226.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC05227.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC05228.JPG,7008 3944 3504 1972,120.62 m,58.24 m
DSC05229.JPG,7008 3944 3504 1972,120.62 m,58.24 m
DSC05237.JPG,7008 3944 3504 1972,131.53 m,58.24 m
DSC05244.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC05250.JPG,7008 3944 3504 1972,125.96 m,58.24 m
DSC05274.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC05575.JPG,7008 3944 3504 1972,101.44 m,50.96 m
SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC04720.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC04726.JPG,7008 3944 3504 1972,120.62 m,58.24 m
DSC04743.JPG,7008 3944 3504 1972,101.44 m,58.24 m
SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC04784.JPG,7008 3944 3504 1972,131.53 m,58.24 m
DSC04816.JPG,7008 3944 3504 1972,inf,58.24 m
DSC04827.JPG,7008 3944 3504 1972,inf,58.24 m
DSC04832.JPG,7008 3944 3504 1972,inf,58.24 m
SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC05392.JPG,7008 3944 3504 1972,inf,34.66 m
DSC05402.JPG,7008 3944 3504 1972,inf,34.66 m
DSC05607.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC05609.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC05616.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC05620.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC05622.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC05623.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC05628.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC05629.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC05634.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC05638.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC05641.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC05642.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC05645.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC05661.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC05674.JPG,7008 3944 3504 1972,97.14 m,58.24 m
SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC05557.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC05558.JPG,7008 3944 3504 1972,93.03 m,58.24 m
SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC05108.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC05115.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC05121.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC05125.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC05134.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC05148.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC05150.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC05157.JPG,7008 3944 3504 1972,131.53 m,58.24 m
DSC05174.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC05186.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC05187.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC05219.JPG,7008 3944 3504 1972,101.44 m,58.24 m
SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC04910.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC04912.JPG,7008 3944 3504 1972,131.53 m,58.24 m
DSC04914.JPG,7008 3944 3504 1972,131.53 m,58.24 m
DSC04918.JPG,7008 3944 3504 1972,120.62 m,58.24 m
DSC04922.JPG,7008 3944 3504 1972,125.96 m,58.24 m
DSC04931.JPG,7008 3944 3504 1972,120.62 m,58.24 m
DSC04972.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC04981.JPG,7008 3944 3504 1972,inf,58.24 m
SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC04510.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC04519.JPG,7008 3944 3504 1972,120.62 m,58.24 m
DSC04520.JPG,7008 3944 3504 1972,120.62 m,58.24 m
DSC04530.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC04533.JPG,7008 3944 3504 1972,93.03 m,58.24 m
SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC05425.JPG,7008 3944 3504 1972,81.70 m,58.24 m
DSC05429.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC05435.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC05441.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC05446.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC05821.JPG,7008 3944 3504 1972,inf,58.24 m
DSC05825.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC05830.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC05836.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC05843.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC05852.JPG,7008 3944 3504 1972,120.62 m,58.24 m
DSC05853.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC05862.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC05863.JPG,7008 3944 3504 1972,93.03 m,58.24 m
SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC04851.JPG,7008 3944 3504 1972,inf,58.24 m
DSC04885.JPG,7008 3944 3504 1972,125.96 m,58.24 m
DSC04897.JPG,7008 3944 3504 1972,inf,58.24 m
SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC05009.JPG,7008 3944 3504 1972,125.96 m,58.24 m
DSC05016.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC05017.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC05021.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC05025.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC05033.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC05034.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC05051.JPG,7008 3944 3504 1972,115.51 m,58.24 m
SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC05525.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC05529.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC05874.JPG,7008 3944 3109 1972,inf,4.26 m
SourceFile,FocusLocation,FocusDistance2,HyperfocalDistance
DSC05279.JPG,7008 3944 3504 1972,131.53 m,58.24 m
DSC05286.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC05288.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC05289.JPG,7008 3944 3504 1972,110.62 m,58.24 m
DSC05290.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC05291.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC05298.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC05301.JPG,7008 3944 3504 1972,93.03 m,58.24 m
DSC05322.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC05327.JPG,7008 3944 3504 1972,97.14 m,58.24 m
DSC05337.JPG,7008 3944 3504 1972,101.44 m,58.24 m
DSC05342.JPG,7008 3944 3504 1972,105.93 m,58.24 m
DSC05347.JPG,7008 3944 3504 1972,120.62 m,58.24 m
DSC05583.JPG,7008 3944 3504 1972,68.71 m,50.96 m
DSC05585.JPG,7008 3944 3504 1972,71.75 m,50.96 m
DSC05591.JPG,7008 3944 3504 1972,93.03 m,50.96 m
DSC05592.JPG,7008 3944 3504 1972,89.09 m,50.96 m
DSC05883.JPG,7008 3944 3504 1972,131.53 m,58.24 m
DSC05884.JPG,7008 3944 3504 1972,120.62 m,58.24 m
DSC05890.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC05893.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC05894.JPG,7008 3944 3504 1972,78.24 m,58.24 m
DSC05895.JPG,7008 3944 3504 1972,115.51 m,58.24 m
DSC05904.JPG,7008 4672 3504 2336,93.03 m,58.24 m
DSC05906.JPG,7008 4672 3504 2336,101.44 m,58.24 m
DSC05907.JPG,7008 4672 3504 2336,120.62 m,58.24 m
DSC05909.JPG,7008 4672 3504 2336,101.44 m,58.24 m
DSC05913.JPG,7008 4672 3504 2336,78.24 m,58.24 m
DSC05916.JPG,7008 4672 3504 2336,97.14 m,58.24 m
DSC05917.JPG,7008 4672 3504 2336,97.14 m,58.24 m
DSC05918.JPG,7008 4672 3504 2336,97.14 m,58.24 m
DSC05925.JPG,7008 4672 3504 2336,97.14 m,58.24 m
DSC05928.JPG,7008 4672 3504 2336,93.03 m,58.24 m
DSC05930.JPG,7008 4672 3504 2336,93.03 m,58.24 m
DSC05932.JPG,7008 4672 3504 2336,93.03 m,58.24 m
DSC05933.JPG,7008 4672 3504 2336,93.03 m,58.24 m
DSC05934.JPG,7008 4672 3504 2336,93.03 m,58.24 m
DSC05936.JPG,7008 4672 3504 2336,93.03 m,58.24 m
DSC05943.JPG,7008 4672 3504 2336,93.03 m,58.24 m
DSC05944.JPG,7008 4672 3504 2336,97.14 m,58.24 m
DSC05945.JPG,7008 4672 3504 2336,97.14 m,58.24 m
DSC05947.JPG,7008 4672 3504 2336,97.14 m,58.24 m
DSC05956.JPG,7008 4672 3504 2336,101.44 m,58.24 m
DSC05957.JPG,7008 4672 3504 2336,101.44 m,58.24 m
DSC05958.JPG,7008 4672 3504 2336,101.44 m,58.24 m
DSC05961.JPG,7008 4672 3504 2336,101.44 m,58.24 m
DSC05966.JPG,7008 4672 3504 2336,89.09 m,58.24 m
DSC05974.JPG,7008 4672 3504 2336,89.09 m,58.24 m
DSC05996.JPG,7008 4672 3504 2336,81.70 m,58.24 m
DSC06012.JPG,7008 4672 3504 2336,97.14 m,58.24 m
DSC06013.JPG,7008 4672 3504 2336,97.14 m,58.24 m
DSC06014.JPG,7008 4672 3504 2336,97.14 m,58.24 m
DSC06015.JPG,7008 4672 3504 2336,97.14 m,58.24 m
DSC06017.JPG,7008 4672 3504 2336,97.14 m,58.24 m
DSC06020.JPG,7008 4672 3504 2336,85.31 m,58.24 m
DSC06025.JPG,7008 4672 3504 2336,105.93 m,58.24 m
DSC06027.JPG,7008 4672 3504 2336,93.03 m,58.24 m
DSC06031.JPG,7008 3944 3504 1972,inf,58.24 m
DSC06036.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC06038.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC06039.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC06045.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC06046.JPG,7008 3944 3504 1972,68.71 m,58.24 m
DSC06047.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06054.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06055.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06057.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06061.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06064.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06067.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06072.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06074.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06075.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06080.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06081.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06084.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06085.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06087.JPG,7008 3944 3504 1972,89.09 m,58.24 m
DSC06089.JPG,7008 3944 3504 1972,71.75 m,58.24 m
DSC06094.JPG,7008 3944 3504 1972,71.75 m,58.24 m
DSC06096.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC06097.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC06098.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC06099.JPG,7008 3944 3504 1972,85.31 m,58.24 m
DSC06128.JPG,7008 3944 3504 1972,110.62 m,58.24 m
